ds,layer,dataset,method,k,acc,std,f1,n
0,L17,Task ID (4-way),Conceptor,10,1.0,0.0,1.0,1185
0,L17,Task ID (4-way),Conceptor,20,0.99915611814346,0.0016877637130801482,0.998557879693387,1185
0,L17,Task ID (4-way),Conceptor,50,1.0,0.0,1.0,1185
0,L17,Task ID (4-way),Conceptor,100,1.0,0.0,1.0,1185
0,L17,Task ID (4-way),ConceptorEnergy(α=0.1),4,0.9240506329113923,0.005967145832797875,,1185
0,L17,Task ID (4-way),ConceptorEnergy(α=1.0),4,0.9924050632911392,0.007259346216913607,,1185
0,L17,Success/Fail (all),Full LogReg,1024,0.9670886075949368,0.01610023968636198,0.9630268618874727,1185
0,L17,Success/Fail (all),Full Ridge,1024,0.9755274261603375,0.014469559662010361,,1185
0,L17,Success/Fail (all),PCA,5,0.9012658227848102,0.015697109905264385,0.8919858441814364,1185
0,L17,Success/Fail (all),PCA,10,0.9113924050632912,0.027083217782078024,0.8972089319755984,1185
0,L17,Success/Fail (all),PCA,20,0.920675105485232,0.017980823419968397,0.9086502382539651,1185
0,L17,Success/Fail (all),PCA,50,0.9257383966244725,0.023507828315922536,0.9138757472276652,1185
0,L17,Success/Fail (all),PCA,100,0.969620253164557,0.014469559662010323,0.9656667116380568,1185
0,L17,Success/Fail (all),Random,5,0.8610970464135022,0.021788500060567536,,1185
0,L17,Success/Fail (all),Random,10,0.8956962025316457,0.01385200643286634,,1185
0,L17,Success/Fail (all),Random,20,0.9164556962025318,0.004862400098189987,,1185
0,L17,Success/Fail (all),Random,50,0.9316455696202534,0.004683354236459659,,1185
0,L17,Success/Fail (all),Random,100,0.9443037974683545,0.0034588863345010675,,1185
0,L17,Success/Fail (all),Conceptor,5,0.9156118143459915,0.021514850268324004,0.9033489899528329,1185
0,L17,Success/Fail (all),Conceptor,10,0.920675105485232,0.019862619908759205,0.9092638865134205,1185
0,L17,Success/Fail (all),Conceptor,20,0.9274261603375529,0.022390715884255875,0.9164542023357252,1185
0,L17,Success/Fail (all),Conceptor,50,0.9451476793248945,0.018488525147853697,0.9376473109610753,1185
0,L17,Success/Fail (all),Conceptor,100,0.9611814345991562,0.01565167678564678,0.9560297403298668,1185
0,L17,Success/Fail (all),ConceptorEnergy(α=0.1),4,0.8691983122362871,0.009244262573926862,,1185
0,L17,Success/Fail (all),ConceptorEnergy(α=1.0),4,0.8776371308016877,0.020842344363254793,,1185
0,L17,Asm Succ/Fail,Full LogReg,1024,0.9311111111111112,0.022662308949301282,0.8884774599168234,450
0,L17,Asm Succ/Fail,Full Ridge,1024,0.9466666666666667,0.010886621079036363,,450
0,L17,Asm Succ/Fail,PCA,5,0.8355555555555554,0.03541639433446495,0.7316103265006799,450
0,L17,Asm Succ/Fail,PCA,10,0.8422222222222222,0.04466611387164838,0.743169411332475,450
0,L17,Asm Succ/Fail,PCA,20,0.8844444444444445,0.021773242158072685,0.8170131318582973,450
0,L17,Asm Succ/Fail,PCA,50,0.8977777777777778,0.014740554623801805,0.8342811170084179,450
0,L17,Asm Succ/Fail,PCA,100,0.9266666666666667,0.015071844406945025,0.8784301347658146,450
0,L17,Asm Succ/Fail,Random,5,0.8022222222222222,0.012090196007764877,,450
0,L17,Asm Succ/Fail,Random,10,0.8213333333333332,0.02375180305046649,,450
0,L17,Asm Succ/Fail,Random,20,0.8537777777777779,0.017855386156978348,,450
0,L17,Asm Succ/Fail,Random,50,0.8977777777777778,0.01209019600776482,,450
0,L17,Asm Succ/Fail,Random,100,0.9133333333333333,0.008073734277593326,,450
0,L17,Asm Succ/Fail,Conceptor,5,0.8911111111111112,0.022662308949301265,0.8166758377686296,450
0,L17,Asm Succ/Fail,Conceptor,10,0.8933333333333333,0.024944382578492966,0.8249623449711191,450
0,L17,Asm Succ/Fail,Conceptor,20,0.888888888888889,0.03142696805273545,0.8197014296221358,450
0,L17,Asm Succ/Fail,Conceptor,50,0.9,0.015713484026367745,0.8365146674681643,450
0,L17,Asm Succ/Fail,Conceptor,100,0.9333333333333333,0.00702728368926304,0.8915636855709504,450
0,L17,Asm Succ/Fail,ConceptorEnergy(α=0.1),4,0.8111111111111111,0.00993807989999903,,450
0,L17,Asm Succ/Fail,ConceptorEnergy(α=1.0),4,0.7955555555555556,0.005443310539518209,,450
9,L0,Task ID (4-way),Full LogReg,1024,1.0,0.0,1.0,1185
9,L0,Task ID (4-way),Full Ridge,1024,1.0,0.0,,1185
9,L0,Task ID (4-way),PCA,5,0.9924050632911394,0.003157516782087723,0.9940625958299234,1185
9,L0,Task ID (4-way),PCA,10,0.9957805907172996,0.004622131286963411,0.9972217248360113,1185
9,L0,Task ID (4-way),PCA,20,0.9957805907172996,0.005337177485516239,0.9972216219394742,1185
9,L0,Task ID (4-way),PCA,50,1.0,0.0,1.0,1185
9,L0,Task ID (4-way),PCA,100,1.0,0.0,1.0,1185
9,L0,Task ID (4-way),Random,5,0.9645569620253165,0.017450203578819014,,1185
9,L0,Task ID (4-way),Random,10,0.990042194092827,0.001953727747306313,,1185
9,L0,Task ID (4-way),Random,20,0.9908860759493671,0.006435671211793299,,1185
9,L0,Task ID (4-way),Random,50,0.9989873417721519,0.00033755274261602073,,1185
9,L0,Task ID (4-way),Random,100,0.998818565400844,0.0006751054852320415,,1185
9,L0,Task ID (4-way),Conceptor,5,0.9974683544303797,0.002067079951715737,0.9965065517014813,1185
9,L0,Task ID (4-way),Conceptor,10,0.9974683544303797,0.002067079951715737,0.9964529167190495,1185
9,L0,Task ID (4-way),Conceptor,20,0.9983122362869199,0.002067079951715737,0.9970621244043425,1185
9,L0,Task ID (4-way),Conceptor,50,1.0,0.0,1.0,1185
9,L0,Task ID (4-way),Conceptor,100,1.0,0.0,1.0,1185
9,L0,Task ID (4-way),ConceptorEnergy(α=0.1),4,0.9544303797468354,0.01113156620951302,,1185
9,L0,Task ID (4-way),ConceptorEnergy(α=1.0),4,0.9611814345991562,0.006201239855147295,,1185
9,L0,Success/Fail (all),Full LogReg,1024,0.9527426160337553,0.019132124976801064,0.9462677346952116,1185
9,L0,Success/Fail (all),Full Ridge,1024,0.9696202531645571,0.01631989840153054,,1185
9,L0,Success/Fail (all),PCA,5,0.8936708860759494,0.010806960738283281,0.8831200301571783,1185
9,L0,Success/Fail (all),PCA,10,0.8928270042194093,0.013502109704641312,0.8821096313648494,1185
9,L0,Success/Fail (all),PCA,20,0.9012658227848102,0.014518692433827243,0.8886982033172621,1185
9,L0,Success/Fail (all),PCA,50,0.9189873417721518,0.022231122147374674,0.9079155366719572,1185
9,L0,Success/Fail (all),PCA,100,0.9535864978902954,0.014616462511129741,0.9477183456937205,1185
9,L0,Success/Fail (all),Random,5,0.8833755274261603,0.008083665832795276,,1185
9,L0,Success/Fail (all),Random,10,0.8933333333333333,0.005080140740351906,,1185
9,L0,Success/Fail (all),Random,20,0.8987341772151899,0.0032900571628047062,,1185
9,L0,Success/Fail (all),Random,50,0.9080168776371309,0.005091342828353834,,1185
9,L0,Success/Fail (all),Random,100,0.9181434599156117,0.0028741580364432355,,1185
9,L0,Success/Fail (all),Conceptor,5,0.8945147679324894,0.01749910662728079,0.8825650660577992,1185
9,L0,Success/Fail (all),Conceptor,10,0.9012658227848102,0.020428216771156468,0.8895498062577614,1185
9,L0,Success/Fail (all),Conceptor,20,0.9054852320675106,0.012963959068132693,0.8933928445340147,1185
9,L0,Success/Fail (all),Conceptor,50,0.9324894514767932,0.022327015283245502,0.9232256026693433,1185
9,L0,Success/Fail (all),Conceptor,100,0.9552742616033754,0.015236683616259739,0.949275789647209,1185
9,L0,Success/Fail (all),ConceptorEnergy(α=0.1),4,0.8388185654008439,0.015422503698309773,,1185
9,L0,Success/Fail (all),ConceptorEnergy(α=1.0),4,0.7611814345991561,0.018603719565441837,,1185
9,L0,Asm Succ/Fail,Full LogReg,1024,0.9244444444444445,0.02154524381073925,0.8794082237435961,450
9,L0,Asm Succ/Fail,Full Ridge,1024,0.9422222222222223,0.01911627837120581,,450
9,L0,Asm Succ/Fail,PCA,5,0.7977777777777777,0.017777777777777802,0.580749494942884,450
9,L0,Asm Succ/Fail,PCA,10,0.8222222222222222,0.01721325931647739,0.6517519052219477,450
9,L0,Asm Succ/Fail,PCA,20,0.8311111111111111,0.027577052546646337,0.6911049833326818,450
9,L0,Asm Succ/Fail,PCA,50,0.9155555555555555,0.03189488909868295,0.8635980666853265,450
9,L0,Asm Succ/Fail,PCA,100,0.9244444444444445,0.008314794192830986,0.8763795833117662,450
9,L0,Asm Succ/Fail,Random,5,0.7964444444444444,0.005726266100766699,,450
9,L0,Asm Succ/Fail,Random,10,0.8115555555555556,0.007083278866893011,,450
9,L0,Asm Succ/Fail,Random,20,0.8195555555555556,0.0110128992829901,,450
9,L0,Asm Succ/Fail,Random,50,0.8506666666666666,0.006798692684790377,,450
9,L0,Asm Succ/Fail,Random,100,0.8711111111111112,0.008314794192831034,,450
9,L0,Asm Succ/Fail,Conceptor,5,0.828888888888889,0.013333333333333336,0.6799671586899956,450
9,L0,Asm Succ/Fail,Conceptor,10,0.8333333333333334,0.007027283689263075,0.6988752538345865,450
9,L0,Asm Succ/Fail,Conceptor,20,0.8266666666666665,0.018053418676968788,0.69123791546871,450
9,L0,Asm Succ/Fail,Conceptor,50,0.9111111111111111,0.030631219449089402,0.8578411082719493,450
9,L0,Asm Succ/Fail,Conceptor,100,0.9222222222222222,0.00993807989999908,0.8750561563188685,450
9,L0,Asm Succ/Fail,ConceptorEnergy(α=0.1),4,0.7911111111111111,0.010886621079036363,,450
